CredibleSet	chr	start	end	nSNP	AnyCoding	AnyPromoter	AnySpliceSite	Trait	Source	LocusID	BestSNPPos	BestSNP	BestSNPNearestGene	CodingVariantGene	SpliceSiteVariantGene	PromoterVariantGene
CAD_Harst2017-rs10093110	chr8	106512481	106581284	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10093110	106564652	rs28416651	ZFPM2	NA	NA	NA
CAD_Harst2017-rs10139550	chr14	100140370	100148961	4	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10139550	100140370	rs11160538	HHIPL1	HHIPL1	NA	NA
CAD_Harst2017-rs10237377	chr7	139727670	139758721	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10237377	139727670	rs2040969	PARP12	NA	NA	NA
CAD_Harst2017-rs10267593	chr7	1920356	1964357	22	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10267593	1920356	rs34040190	MAD1L1	NA	NA	NA
CAD_Harst2017-rs10417115	chr19	33357176	33413002	34	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10417115	33357176	rs73036867	SLC7A9	CEP89	NA	NA
CAD_Harst2017-rs10455872	chr6	160985526	161010118	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10455872	160985526	rs118039278	LPA	NA	NA	NA
CAD_Harst2017-rs1050362	chr16	72079127	72149061	32	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1050362	72079127	rs7197453	HP	DHX38	NA	NA
CAD_Harst2017-rs10512861	chr3	132163200	132268469	9	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10512861	132186187	rs62292896	DNAJC13	DNAJC13	NA	NA
CAD_Harst2017-rs10774625	chr12	111833788	112007756	11	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10774625	111865049	rs7310615	SH2B3	SH2B3	NA	NA
CAD_Harst2017-rs10840293	chr11	9751089	9773568	25	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10840293	9751089	rs12360647	SWAP70	SWAP70	NA	NA
CAD_Harst2017-rs10841443	chr12	20220033	20220033	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10841443	20220033	rs10841443	LOC100506393	NA	NA	NA
CAD_Harst2017-rs10857147	chr4	81164723	81184341	9	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10857147	81164723	rs1458038	FGF5	NA	NA	NA
CAD_Harst2017-rs11057401	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057830	chr12	125303254	125316743	8	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11057830	125303254	rs112403212	SCARB1	NA	NA	NA
CAD_Harst2017-rs11099493	chr4	82587050	82587050	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11099493	82587050	rs11099493	RASGEF1B	NA	NA	NA
CAD_Harst2017-rs111245230	chr9	113147597	113250200	19	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs111245230	113147597	rs12346953	SVEP1	SVEP1	NA	NA
CAD_Harst2017-rs11170820	chr12	54512164	54513915	2	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11170820	54512164	rs7137258	FLJ12825	NA	NA	NA
CAD_Harst2017-rs11191416	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
CAD_Harst2017-rs112370447	chr7	106941324	107278901	96	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs112370447	106941324	rs12112877	COG5	NA	NA	NA
CAD_Harst2017-rs112635299	chr14	94838142	94844947	2	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs112635299	94838142	rs112635299	SERPINA1	SERPINA1	NA	NA
CAD_Harst2017-rs114123510	chr2	203639395	204121145	251	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs114123510	203639395	rs72932707	ICA1L	WDR12;CARF;NBEAL1	NA	NA
