chr	region_start	region_end	Trait	Source	CredibleSet	LeadVariant	LeadVariantPos	gene	pro_start	pro_end	TSS_position	SNP_to_TSS_distance	abs_SNP_to_TSS	rank_SNP_to_TSS	IsThisGeneUbiquitouslyExpressed	LipidLevelsAssociated	BloodPressureAssociated	IntersectsWithECPeak	OnlyIntersectsWithECPeak	CellTypeOftheClosestECPeak	EC_PeakCenter	DistanceToNearestECPeakWithVariant	absDistanceToNearestECPeakWithVariant	RankOfDistanceToECPeakWithVariant	MaxABC	MaxABC.Rank	CellTypesWithEPInteractions	MaxABC.EC.only	MaxABC.Rank.ECOnly	ECCellTypesWithEPInteractions
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	ACTRT2	2937795	2938295	2938045	-392839	392839	10	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3329192.5	391147.5	391147.5	10	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	PRDM16	2985491	2985991	2985741	-345143	345143	7	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3329192.5	343451.5	343451.5	7	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	ARHGEF16	3370896	3371396	3371146	40262	40262	1	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-40332.5	40332.5	1	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	MEGF6	3527809	3528309	3528059	197175	197175	2	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-197245.5	197245.5	2	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	TPRG1L	3541305	3541805	3541555	210671	210671	3	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-210741.5	210741.5	3	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	WRAP73	3566421	3566921	3566671	235787	235787	4	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-235857.5	235857.5	4	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	TP73	3568878	3569378	3569128	238244	238244	5	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-238314.5	238314.5	5	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	CCDC27	3668714	3669214	3668964	338080	338080	6	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-338150.5	338150.5	6	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	SMIM1	3689100	3689600	3689350	358466	358466	8	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-358536.5	358536.5	8	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	LRRC47	3712818	3713318	3713068	382184	382184	9	TRUE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-382254.5	382254.5	9	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	CEP104	3773547	3774047	3773797	442913	442913	11	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-442983.5	442983.5	11	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	DFFB	3773580	3774080	3773830	442946	442946	12	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-443016.5	443016.5	12	NA	NA	NA	NA	NA	NA
chr1	1330884	5330884	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs2493288	rs2493288	3330884	C1orf174	3816607	3817107	3816857	485973	485973	13	FALSE	FALSE	FALSE	TRUE	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	3330813.5	-486043.5	486043.5	13	NA	NA	NA	NA	NA	NA
chr1	6473336	10473336	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs1763839	rs1763839	8473336	TNFRSF9	8002975	8003475	8003225	-470111	470111	6	FALSE	FALSE	FALSE	TRUE	NA	TeloHAEC_IL1b	8464588	461363	461363	6	NA	NA	NA	NA	NA	NA
chr1	6473336	10473336	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs1763839	rs1763839	8473336	PARK7	8021463	8021963	8021713	-451623	451623	4	TRUE	FALSE	FALSE	TRUE	NA	TeloHAEC_IL1b	8464588	442875	442875	4	0.024745	2	brite_adipose-Loft2014|OCI-LY7-ENCODE|small_intestine_fetal-Roadmap	NA	NA	NA
chr1	6473336	10473336	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs1763839	rs1763839	8473336	ERRFI1	8086143	8086643	8086393	-386943	386943	2	FALSE	FALSE	FALSE	TRUE	NA	TeloHAEC_IL1b	8464588	378195	378195	2	0.028713	1	A673-ENCODE|brite_adipose-Loft2014|CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016|small_intestine_fetal-Roadmap	NA	NA	NA
chr1	6473336	10473336	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs1763839	rs1763839	8473336	SLC45A1	8377894	8378394	8378144	-95192	95192	1	FALSE	FALSE	FALSE	TRUE	NA	TeloHAEC_IL1b	8464588	86444	86444	1	0.020735	3	A673-ENCODE|small_intestine_fetal-Roadmap|spinal_cord_fetal-ENCODE	NA	NA	NA
chr1	6473336	10473336	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs1763839	rs1763839	8473336	RERE	8877449	8877949	8877699	404363	404363	3	FALSE	FALSE	FALSE	TRUE	NA	TeloHAEC_IL1b	8484557.5	-393141.5	393141.5	3	0.019713	4	brite_adipose-Loft2014|OCI-LY7-ENCODE	NA	NA	NA
chr1	6473336	10473336	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs1763839	rs1763839	8473336	ENO1	8938901	8939401	8939151	465815	465815	5	FALSE	FALSE	FALSE	TRUE	NA	TeloHAEC_IL1b	8484557.5	-454593.5	454593.5	5	NA	NA	NA	NA	NA	NA
chr1	8798552	12798552	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs682178	rs682178	10798552	PGD	10458798	10459298	10459048	-339504	339504	10	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	8798552	12798552	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs682178	rs682178	10798552	APITD1-CORT	10489908	10490408	10490158	-308394	308394	7	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	8798552	12798552	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs682178	rs682178	10798552	CENPS	10489908	10490408	10490158	-308394	308394	7	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	8798552	12798552	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs682178	rs682178	10798552	CORT	10509525	10510025	10509775	-288777	288777	6	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	8798552	12798552	UKBB_DBP	UKBB_DBP	UKBB_DBP-rs682178	rs682178	10798552	DFFA	10532363	10532863	10532613	-265939	265939	4	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	0.018057	2	stomach-ENCODE	NA	NA	NA
