CredibleSet	Adipose	CellModels	CM	EC	Fibroblasts	HeartOrArteryTissue	Hepatocytes	K562	Mac	SMC	chr	start	end	nSNP	AnyCoding	AnyPromoter	AnySpliceSite	Trait	Source	LocusID	BestSNPPos	BestSNP	BestSNPNearestGene	CodingVariantGene	SpliceSiteVariantGene	PromoterVariantGene
CAD_Aragam2021-rs10131894	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr14	75446879	75469555	2	FALSE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs10131894	75446879	rs10131894	EIF2B2	NA	NA	EIF2B2
CAD_Aragam2021-rs10176176	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	chr2	85760395	85764960	13	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10176176	85760395	rs6731005	PARTICL	NA	NA	NA
CAD_Aragam2021-rs10410487	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	chr19	17826412	17832748	11	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10410487	17826412	rs2382631	MAP1S	NA	NA	NA
CAD_Aragam2021-rs10422256	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr19	11216617	11216617	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10422256	11216617	rs10422256	LDLR	NA	NA	NA
CAD_Aragam2021-rs10455872	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr6	160985526	161010118	4	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10455872	160985526	rs118039278	LPA	NA	NA	NA
CAD_Aragam2021-rs10477741	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	chr5	131759825	131795310	5	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10477741	131759825	rs77335401	C5orf56	NA	NA	NA
CAD_Aragam2021-rs10488763	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	chr11	110244228	110244360	2	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10488763	110244228	rs1443120	LOC105369486	NA	NA	NA
CAD_Aragam2021-rs1051338	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	chr10	91002804	91011681	8	TRUE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs1051338	91005952	rs2246828	LIPA	LIPA	NA	LIPA
CAD_Aragam2021-rs10774625	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	chr12	111865049	112007756	7	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10774625	111865049	rs7310615	SH2B3	SH2B3	NA	NA
CAD_Aragam2021-rs10790800	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	chr11	126260222	126263885	5	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10790800	126260222	rs12288031	ST3GAL4	NA	NA	NA
CAD_Aragam2021-rs10811183	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	chr9	19424295	19436055	3	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10811183	19436055	rs10811183	ACER2	NA	NA	NA
CAD_Aragam2021-rs10841443	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr12	20220033	20220033	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10841443	20220033	rs10841443	LOC100506393	NA	NA	NA
CAD_Aragam2021-rs10857147	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	chr4	81164723	81184341	9	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10857147	81164723	rs1458038	FGF5	NA	NA	NA
CAD_Aragam2021-rs10928241	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	chr2	145801113	145840281	18	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10928241	145801113	rs2252654	TEX41	NA	NA	NA
CAD_Aragam2021-rs10951983	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr7	6426318	6487156	38	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10951983	6426318	rs34414425	RAC1	DAGLB	NA	NA
CAD_Aragam2021-rs10961206	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	chr9	13724051	13724051	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs10961206	13724051	rs10961206	LINC00583	NA	NA	NA
CAD_Aragam2021-rs11079536	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	chr17	62390067	62409586	28	FALSE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs11079536	62390067	rs8070460	PECAM1	NA	NA	PECAM1
CAD_Aragam2021-rs11080107	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr17	27935688	27962393	7	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11080107	27935688	rs7220401	ANKRD13B	NA	NA	NA
CAD_Aragam2021-rs11107903	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	chr12	95442445	95575951	31	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11107903	95442445	rs11107876	NR2C1	FGD6	NA	NA
CAD_Aragam2021-rs11206803	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	chr1	56877509	56877509	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11206803	56877509	rs11206803	PLPP3	NA	NA	NA
CAD_Aragam2021-rs112238647	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr15	79051705	79051705	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs112238647	79051705	rs112238647	ADAMTS7	NA	NA	NA
CAD_Aragam2021-rs112635299	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr14	94838142	94838142	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs112635299	94838142	rs112635299	SERPINA1	NA	NA	NA
CAD_Aragam2021-rs112949822	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr5	108074229	108220554	34	TRUE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs112949822	108074229	rs77844865	LINC01023	FER	NA	FER
CAD_Aragam2021-rs1132274	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr20	17596155	17600114	7	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1132274	17596155	rs1132274	RRBP1	RRBP1	NA	NA
CAD_Aragam2021-rs114192718	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr2	128437163	128785663	2	FALSE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs114192718	128785663	rs114192718	SAP130	NA	NA	SAP130
CAD_Aragam2021-rs11466359	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr19	41773797	41837615	52	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11466359	41773797	rs3816052	HNRNPUL1	HNRNPUL1	NA	NA
CAD_Aragam2021-rs11523031	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	chr9	21834210	21844772	7	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11523031	21834210	rs10965153	MTAP	NA	NA	NA
CAD_Aragam2021-rs11591147	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	chr1	55505647	55505647	1	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11591147	55505647	rs11591147	PCSK9	PCSK9	NA	NA
CAD_Aragam2021-rs11617955	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr13	110818102	110818102	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11617955	110818102	rs11617955	COL4A1	NA	NA	NA
CAD_Aragam2021-rs11619113	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	chr13	110918660	110923799	4	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11619113	110918660	rs11619113	COL4A1	NA	NA	NA
CAD_Aragam2021-rs11655024	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr17	59161646	59232365	5	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11655024	59161646	rs2052074	BCAS3	NA	NA	NA
