CredibleSet	LeadVariant	TargetGene	variant	chr	position	Coding	codingVariant	CellTypeOftheClosestECPeak	variantInClosestECPeak	RankOfGeneTSSDistanceToECPeakWithVariant	CellTypesWithEPInteractions	MaxABC.Score	MaxABCVariant	MaxABC.Rank	ECCellTypesWithEPInteractions	MaxABC.Score.EC	MacABCECVariant	MaxABC.Rank.ECOnly	lead_SNP_to_TSS_distance	rank_lead_SNP_to_TSS
CAD_Harst2017-rs10093110	rs10093110	ZFPM2	rs6993696	chr8	106581284	NA	NA	NA	NA	NA	megakaryocyte-erythroid_progenitor-Corces2016	0.023445	TRUE	1	NA	NA	NA	NA	-234268	1
CAD_Harst2017-rs10139550	rs10139550	BCL11B	rs10139550	chr14	100145710	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.018719	TRUE	5	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.018719	TRUE	5	-407660	8
CAD_Harst2017-rs10139550	rs10139550	CCDC85C	rs10139550	chr14	100145710	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.023059	TRUE	4	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.023059	TRUE	4	-74983	3
CAD_Harst2017-rs10139550	rs10139550	CCNK	rs10139550	chr14	100145710	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.016037	TRUE	6	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.016037	TRUE	6	-197972	5
CAD_Harst2017-rs10139550	rs10139550	CYP46A1	rs8003602	chr14	100148961	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.275884	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.275884	TRUE	1	5044	1
CAD_Harst2017-rs10139550	rs10139550	EML1	rs10139550	chr14	100145710	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027665	TRUE	3	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027665	TRUE	3	114034	4
CAD_Harst2017-rs10139550	rs10139550	HHIPL1	rs10139550	chr14	100145710	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.057372	TRUE	2	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.057372	TRUE	2	-34264	2
CAD_Harst2017-rs10139550	rs10139550	HHIPL1	rs7158073	chr14	100141689	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-34264	2
CAD_Harst2017-rs10139550	rs10139550	SETD3	rs10139550	chr14	100145710	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.016037	TRUE	6	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.016037	TRUE	6	-198484	6
CAD_Harst2017-rs10237377	rs10237377	PARP12	rs6945359	chr7	139758476	NA	NA	NA	NA	NA	large_intestine_fetal-ENCODE	0.025215	TRUE	1	NA	NA	NA	NA	6385	1
CAD_Harst2017-rs10267593	rs10267593	MAD1L1	rs1403175	chr7	1964357	NA	NA	NA	NA	NA	A673-ENCODE	0.015228	TRUE	2	NA	NA	NA	NA	335322	4
CAD_Harst2017-rs10267593	rs10267593	SNX8	rs1403175	chr7	1964357	NA	NA	NA	NA	NA	A673-ENCODE	0.01608	TRUE	1	NA	NA	NA	NA	416849	10
CAD_Harst2017-rs10417115	rs10417115	CEP89	rs34626245	chr19	33372814	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76379	2
CAD_Harst2017-rs10417115	rs10417115	SLC7A9	rs28521355	chr19	33361137	NA	NA	NA	NA	NA	small_intestine_fetal-Roadmap	0.135028	TRUE	1	NA	NA	NA	NA	-25873	1
CAD_Harst2017-rs1050362	rs1050362	DHX38	rs1050362	chr16	72130815	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3201	1
CAD_Harst2017-rs1050362	rs1050362	DHX38	rs2074626	chr16	72139184	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3201	1
CAD_Harst2017-rs1050362	rs1050362	DHX38	rs2240243	chr16	72137561	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3201	1
CAD_Harst2017-rs10512861	rs10512861	DNAJC13	rs62292896	chr3	132186187	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-121409	4
CAD_Harst2017-rs10774625	rs10774625	ACAD10	rs653178	chr12	112007756	NA	NA	NA	NA	NA	Panc1-ENCODE	0.028942	TRUE	3	Eahy926_Ctrl	0.020171	TRUE	2	213637	5
CAD_Harst2017-rs10774625	rs10774625	ALDH2	rs653178	chr12	112007756	NA	NA	NA	NA	NA	Panc1-ENCODE	0.017891	TRUE	5	NA	NA	NA	NA	294471	6
CAD_Harst2017-rs10774625	rs10774625	ATXN2	rs653178	chr12	112007756	NA	NA	NA	NA	NA	Panc1-ENCODE	0.0466	TRUE	1	Eahy926_Ctrl	0.031434	TRUE	1	127261	3
CAD_Harst2017-rs10774625	rs10774625	BRAP	rs653178	chr12	112007756	NA	NA	NA	NA	NA	Panc1-ENCODE	0.028942	TRUE	3	Eahy926_Ctrl	0.020171	TRUE	2	213581	4
CAD_Harst2017-rs10774625	rs10774625	FAM109A	rs3184504	chr12	111884608	NA	NA	NA	NA	NA	body_of_pancreas-ENCODE	0.022865	TRUE	4	NA	NA	NA	NA	-103294	2
CAD_Harst2017-rs10774625	rs10774625	SH2B3	rs3184504	chr12	111884608	TRUE	TRUE	NA	NA	NA	body_of_pancreas-ENCODE	0.041708	TRUE	2	NA	NA	NA	NA	-66468	1
CAD_Harst2017-rs10840293	rs10840293	SBF2	rs378825	chr11	9766932	NA	NA	NA	NA	NA	OCI-LY7-ENCODE	0.016025	TRUE	3	NA	NA	NA	NA	564558	7
CAD_Harst2017-rs10840293	rs10840293	SBF2	rs491205	chr11	9767559	NA	NA	NA	NA	NA	OCI-LY7-ENCODE	0.016025	TRUE	3	NA	NA	NA	NA	564558	7
CAD_Harst2017-rs10840293	rs10840293	SWAP70	rs360157	chr11	9754221	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-65573	1
CAD_Harst2017-rs10840293	rs10840293	SWAP70	rs378825	chr11	9766932	NA	NA	NA	NA	NA	OCI-LY7-ENCODE	0.025334	TRUE	1	NA	NA	NA	NA	-65573	1
CAD_Harst2017-rs10840293	rs10840293	SWAP70	rs491205	chr11	9767559	NA	NA	NA	NA	NA	OCI-LY7-ENCODE	0.025334	TRUE	1	NA	NA	NA	NA	-65573	1
CAD_Harst2017-rs10840293	rs10840293	WEE1	rs378825	chr11	9766932	NA	NA	NA	NA	NA	CD19-positive_B_cell-Roadmap	0.019123	TRUE	2	NA	NA	NA	NA	-155969	2
