chr	start	end	variant	PosteriorProb	Disease	CredibleSet	CellType
chr1	2251982	2251982	rs11806567	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	THP_pmaLPS_ATAC_96h
chr1	2251982	2251982	rs11806567	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013
chr1	2251982	2251982	rs11806567	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	THP_pmaLPS_ATAC_2h
chr1	2251982	2251982	rs11806567	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	SK-N-SH-ENCODE
chr1	2251982	2251982	rs11806567	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	U937-Engreitz
chr1	2252205	2252205	rs36096196	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	THP_pmaLPS_ATAC_1h
chr1	2252205	2252205	rs36096196	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	osteoblast-ENCODE
chr1	2252205	2252205	rs36096196	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013
chr1	2252205	2252205	rs36096196	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	hepatocyte-ENCODE
chr1	2252205	2252205	rs36096196	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	THP-1_macrophage-VanBortle2017
chr1	2252205	2252205	rs36096196	NA	CAD_Harst2017	CAD_Harst2017-rs36096196	THP_pmaLPS_ATAC_12h
chr1	3325912	3325912	rs2493298	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	coronary_artery-ENCODE
chr1	3325912	3325912	rs2493298	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	hepatocyte-ENCODE
chr1	3325912	3325912	rs2493298	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	SK-N-SH-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	HeLa-S3-Roadmap
