CredibleSet	variant	AllCellTypes	TargetGenes	TopGene	chr	start	end	nSNP	AnyCoding	AnyPromoter	AnySpliceSite	Trait	Source	LocusID	BestSNPPos	BestSNP	BestSNPNearestGene	CodingVariantGene	SpliceSiteVariantGene	PromoterVariantGene
CAD_Harst2017-rs10093110	rs6993696	megakaryocyte-erythroid_progenitor-Corces2016	ZFPM2	ZFPM2	chr8	106512481	106581284	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10093110	106564652	rs28416651	ZFPM2	NA	NA	NA
CAD_Harst2017-rs10139550	rs8003602	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013,T-cell-ENCODE,CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016,sigmoid_colon-ENCODE,heart_ventricle-ENCODE,Eahy926_VEGF	CYP46A1	CYP46A1	chr14	100140370	100148961	4	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10139550	100140370	rs11160538	HHIPL1	HHIPL1	NA	NA
CAD_Harst2017-rs10139550	rs10139550	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013,endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013,endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013,endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013,endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013,endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013,endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	BCL11B,CCDC85C,CCNK,CYP46A1,EML1,HHIPL1,SETD3	CYP46A1	chr14	100140370	100148961	4	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10139550	100140370	rs11160538	HHIPL1	HHIPL1	NA	NA
CAD_Harst2017-rs10237377	rs6945359	thymus_fetal-ENCODE,large_intestine_fetal-ENCODE	PARP12	PARP12	chr7	139727670	139758721	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10237377	139727670	rs2040969	PARP12	NA	NA	NA
CAD_Harst2017-rs10267593	rs1403175	A673-ENCODE,A673-ENCODE	MAD1L1,SNX8	SNX8	chr7	1920356	1964357	22	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10267593	1920356	rs34040190	MAD1L1	NA	NA	NA
CAD_Harst2017-rs10417115	rs11084675	small_intestine_fetal-ENCODE	SLC7A9	SLC7A9	chr19	33357176	33413002	34	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10417115	33357176	rs73036867	SLC7A9	CEP89	NA	NA
CAD_Harst2017-rs10417115	rs1990988	HepG2-Roadmap	SLC7A9	SLC7A9	chr19	33357176	33413002	34	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10417115	33357176	rs73036867	SLC7A9	CEP89	NA	NA
CAD_Harst2017-rs10417115	rs28521355	small_intestine_fetal-Roadmap,placenta-Roadmap	SLC7A9	SLC7A9	chr19	33357176	33413002	34	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10417115	33357176	rs73036867	SLC7A9	CEP89	NA	NA
CAD_Harst2017-rs10774625	rs3184504	body_of_pancreas-ENCODE,body_of_pancreas-ENCODE,body_of_pancreas-ENCODE,body_of_pancreas-ENCODE	FAM109A,SH2B3	SH2B3	chr12	111833788	112007756	11	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10774625	111865049	rs7310615	SH2B3	SH2B3	NA	NA
CAD_Harst2017-rs10774625	rs653178	Panc1-ENCODE,Eahy926_Ctrl,Panc1-ENCODE,Panc1-ENCODE,Eahy926_Ctrl,PC-9-ENCODE,TeloHAEC_IL1b,TeloHAEC_VEGF,Eahy926_Ctrl,Panc1-ENCODE,Panc1-ENCODE	ACAD10,ALDH2,ATXN2,BRAP,FAM109A	ATXN2	chr12	111833788	112007756	11	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10774625	111865049	rs7310615	SH2B3	SH2B3	NA	NA
CAD_Harst2017-rs10840293	rs173396	CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	SWAP70	SWAP70	chr11	9751089	9773568	25	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10840293	9751089	rs12360647	SWAP70	SWAP70	NA	NA
CAD_Harst2017-rs10840293	rs378825	OCI-LY7-ENCODE,OCI-LY7-ENCODE,CD19-positive_B_cell-Roadmap,OCI-LY7-ENCODE,B_cell-ENCODE,Karpas-422-ENCODE,CD19-positive_B_cell-Roadmap,B_cell-ENCODE,OCI-LY7-ENCODE,Karpas-422-ENCODE,OCI-LY7-ENCODE,OCI-LY7-ENCODE,B_cell-ENCODE,CD19-positive_B_cell-Roadmap,CD19-positive_B_cell-Roadmap,B_cell-ENCODE	SBF2,SWAP70,WEE1	SWAP70	chr11	9751089	9773568	25	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10840293	9751089	rs12360647	SWAP70	SWAP70	NA	NA
CAD_Harst2017-rs10840293	rs360153	trophoblast_cell-ENCODE,placenta-Roadmap,thyroid_gland-ENCODE	SWAP70	SWAP70	chr11	9751089	9773568	25	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10840293	9751089	rs12360647	SWAP70	SWAP70	NA	NA
CAD_Harst2017-rs10840293	rs491205	OCI-LY7-ENCODE,OCI-LY7-ENCODE,CD19-positive_B_cell-Roadmap,OCI-LY7-ENCODE,CD19-positive_B_cell-Roadmap	SBF2,SWAP70,WEE1	SWAP70	chr11	9751089	9773568	25	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10840293	9751089	rs12360647	SWAP70	SWAP70	NA	NA
CAD_Harst2017-rs10857147	rs13125101	K562-Roadmap,K562-Roadmap,K562-Roadmap,K562-Roadmap	C4orf22,FGF5	FGF5	chr4	81164723	81184341	9	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs10857147	81164723	rs1458038	FGF5	NA	NA	NA
CAD_Harst2017-rs11057401	rs7131882	osteoblast-ENCODE,foreskin_fibroblast-Roadmap,myotube_originated_from_skeletal_muscle_myoblast-Roadmap,myotube-ENCODE,osteoblast-ENCODE,skeletal_muscle_myoblast-Roadmap,osteoblast-ENCODE,osteoblast-ENCODE,skeletal_muscle_myoblast-Roadmap,foreskin_fibroblast-Roadmap,myotube_originated_from_skeletal_muscle_myoblast-Roadmap,myotube-ENCODE,osteoblast-ENCODE,foreskin_fibroblast-Roadmap,skeletal_muscle_myoblast-Roadmap,myotube_originated_from_skeletal_muscle_myoblast-Roadmap,myotube-ENCODE,osteoblast-ENCODE	ATP6V0A2,CCDC92,DNAH10,RFLNA,TCTN2,ZNF664	RFLNA	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs35825716	osteoblast-ENCODE,osteoblast-ENCODE,astrocyte-Roadmap,osteoblast-ENCODE,osteoblast-ENCODE,astrocyte-Roadmap,osteoblast-ENCODE,osteoblast-ENCODE,astrocyte-Roadmap	ATP6V0A2,CCDC92,DNAH10,RFLNA,TCTN2,ZNF664	RFLNA	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs12823740	adrenal_gland-ENCODE,coronary_artery-ENCODE,liver-ENCODE,H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap,CD4-positive_helper_T_cell-Corces2016,transverse_colon-ENCODE,erythroblast-Corces2016,bipolar_neuron_from_iPSC-ENCODE,BJAB_anti-IgM_anti-CD40_4hr-Engreitz,pancreatic-beta-cell-AMP,THP_pmaLPS_ATAC_120h,hepatocyte-ENCODE,spinal_cord_fetal-ENCODE,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017,body_of_pancreas-ENCODE,coronary_artery_smooth_muscle_cell-Miller2016,psoas_muscle-Roadmap,T-cell-ENCODE,pancreas-Roadmap,Eahy926_TNF,megakaryocyte-erythroid_progenitor-Corces2016,gastrocnemius_medialis-ENCODE,Adipocyte-Claussnitzer_d2,TeloHAEC_IL1b,osteoblast-ENCODE,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,stomach_fetal-ENCODE,Adipocyte-Claussnitzer_d14,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013,osteoblast-ENCODE,coronary_artery-ENCODE,Eahy926_TNF,H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap,psoas_muscle-Roadmap,transverse_colon-ENCODE,bipolar_neuron_from_iPSC-ENCODE,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017,TeloHAEC_IL1b,body_of_pancreas-ENCODE,hepatocyte-ENCODE,liver-ENCODE,Adipocyte-Claussnitzer_d6,erythroblast-Corces2016,coronary_artery_smooth_muscle_cell-Miller2016,pancreas-Roadmap,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,T-cell-ENCODE,THP_pmaLPS_ATAC_120h,stomach_fetal-ENCODE,CD4-positive_helper_T_cell-Corces2016,gastrocnemius_medialis-ENCODE,pancreatic-beta-cell-AMP,Adipocyte-Claussnitzer_d2,Adipocyte-Claussnitzer_d14,adrenal_gland-ENCODE,spinal_cord_fetal-ENCODE,megakaryocyte-erythroid_progenitor-Corces2016,endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,BJAB_anti-IgM_anti-CD40_4hr-Engreitz,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,megakaryocyte-erythroid_progenitor-Corces2016,body_of_pancreas-ENCODE,psoas_muscle-Roadmap,THP_pmaLPS_ATAC_120h,Eahy926_TNF,CD4-positive_helper_T_cell-Corces2016,bipolar_neuron_from_iPSC-ENCODE,erythroblast-Corces2016,TeloHAEC_IL1b,coronary_artery-ENCODE,H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap,transverse_colon-ENCODE,pancreatic-beta-cell-AMP,Adipocyte-Claussnitzer_d2,adrenal_gland-ENCODE,pancreas-Roadmap,liver-ENCODE,hepatocyte-ENCODE,T-cell-ENCODE,coronary_artery_smooth_muscle_cell-Miller2016,spinal_cord_fetal-ENCODE,gastrocnemius_medialis-ENCODE,endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017,BJAB_anti-IgM_anti-CD40_4hr-Engreitz,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,stomach_fetal-ENCODE,Adipocyte-Claussnitzer_d14,Adipocyte-Claussnitzer_d6,osteoblast-ENCODE	CCDC92,RFLNA,ZNF664	ZNF664	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs7311233	large_intestine_fetal-Roadmap,small_intestine_fetal-Roadmap,breast_epithelium-ENCODE,large_intestine_fetal-Roadmap,small_intestine_fetal-Roadmap,mammary_epithelial_cell-ENCODE,keratinocyte-ENCODE,small_intestine_fetal-Roadmap,large_intestine_fetal-Roadmap,large_intestine_fetal-Roadmap,large_intestine_fetal-Roadmap,small_intestine_fetal-Roadmap,large_intestine_fetal-Roadmap,breast_epithelium-ENCODE,mammary_epithelial_cell-ENCODE,keratinocyte-ENCODE,large_intestine_fetal-Roadmap,small_intestine_fetal-Roadmap,breast_epithelium-ENCODE,large_intestine_fetal-Roadmap,mammary_epithelial_cell-ENCODE,keratinocyte-ENCODE,small_intestine_fetal-Roadmap	ATP6V0A2,CCDC92,DNAH10,EIF2B1,GTF2H3,RFLNA,TCTN2,ZNF664	CCDC92	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs34854841	Adipocyte-Claussnitzer_d2,Adipocyte-Claussnitzer_d0,Adipocyte-Claussnitzer_d2,Adipocyte-Claussnitzer_d0,Adipocyte-Claussnitzer_d0,Adipocyte-Claussnitzer_d2	CCDC92,RFLNA,ZNF664	ZNF664	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs2178663	bipolar_neuron_from_iPSC-ENCODE,large_intestine_fetal-Roadmap,hepatocyte-ENCODE,HepG2-Roadmap,bipolar_neuron_from_iPSC-ENCODE,small_intestine_fetal-Roadmap,bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE,small_intestine_fetal-Roadmap,hepatocyte-ENCODE,HepG2-Roadmap,large_intestine_fetal-Roadmap,bipolar_neuron_from_iPSC-ENCODE,hepatocyte-ENCODE,large_intestine_fetal-Roadmap,bipolar_neuron_from_iPSC-ENCODE,small_intestine_fetal-Roadmap,HepG2-Roadmap	ATP6V0A2,CCDC92,EIF2B1,GTF2H3,RFLNA,TCTN2,ZNF664	ZNF664	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs4930722	CD56-positive_natural_killer_cells-Roadmap,CD3-positive_T_cell-Roadmap,T-cell-ENCODE,CD56-positive_natural_killer_cells-Roadmap,T-cell-ENCODE,CD56-positive_natural_killer_cells-Roadmap,CD3-positive_T_cell-Roadmap,T-cell-ENCODE,CD56-positive_natural_killer_cells-Roadmap,CD3-positive_T_cell-Roadmap	CCDC92,DNAH10,RFLNA,ZNF664	RFLNA	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs11057401	osteoblast-ENCODE,osteoblast-ENCODE,astrocyte-Roadmap,osteoblast-ENCODE,astrocyte-Roadmap,osteoblast-ENCODE,osteoblast-ENCODE,astrocyte-Roadmap,osteoblast-ENCODE	ATP6V0A2,CCDC92,DNAH10,RFLNA,TCTN2,ZNF664	RFLNA	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057401	rs7955815	bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE,bipolar_neuron_from_iPSC-ENCODE	ATP6V0A2,CCDC92,EIF2B1,GTF2H3,RFLNA,TCTN2,ZNF664	ZNF664	chr12	124403769	124495203	58	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11057401	124403769	rs11057393	DNAH10	DNAH10;CCDC92	NA	ZNF664
CAD_Harst2017-rs11057830	rs10846744	large_intestine_fetal-Roadmap,trophoblast_cell-ENCODE,placenta-Roadmap,placenta-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,placenta-Roadmap,placenta-ENCODE,placenta-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,large_intestine_fetal-Roadmap,placenta-Roadmap,trophoblast_cell-ENCODE,placenta-Roadmap,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,placenta-ENCODE,trophoblast_cell-ENCODE,placenta-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,placenta-Roadmap,trophoblast_cell-ENCODE,large_intestine_fetal-Roadmap,trophoblast_cell-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,placenta-Roadmap,trophoblast_cell-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,placenta-ENCODE,large_intestine_fetal-Roadmap,placenta-Roadmap,placenta-ENCODE,trophoblast_cell-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,trophoblast_cell-ENCODE,placenta-Roadmap,placenta-ENCODE,large_intestine_fetal-Roadmap,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,placenta-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,placenta-Roadmap,trophoblast_cell-ENCODE,placenta-ENCODE,trophoblast_cell-ENCODE,placenta-ENCODE,placenta-Roadmap,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	AACS,ATP6V0A2,BRI3BP,CCDC92,DHX37,DNAH10,NCOR2,RFLNA,SCARB1,TCTN2,UBC,ZNF664	SCARB1	chr12	125303254	125316743	8	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11057830	125303254	rs112403212	SCARB1	NA	NA	NA
CAD_Harst2017-rs11191416	rs11191607	THP1_LPS_4hr-Engreitz	NT5C2	NT5C2	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
CAD_Harst2017-rs11191416	rs10883832	Karpas-422-ENCODE	NT5C2	NT5C2	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
CAD_Harst2017-rs11191416	rs74233809	muscle_of_trunk_fetal-Roadmap,A673-ENCODE,H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap,A673-ENCODE,induced_pluripotent_stem_cell-ENCODE,H9-ENCODE,uterus-ENCODE,stomach_fetal-ENCODE,muscle_of_trunk_fetal-Roadmap,endothelial_cell_of_umbilical_vein-Roadmap,muscle_of_trunk_fetal-ENCODE,A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap,muscle_of_trunk_fetal-Roadmap	CNNM2,INA,NT5C2,TAF5	NT5C2	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
CAD_Harst2017-rs11191416	rs3824754	skeletal_muscle_myoblast-Roadmap,fibroblast_of_dermis-Roadmap,GM12878-ENCODE,astrocyte-ENCODE,iPS_DF_19.11_Cell_Line-Roadmap,T-cell-ENCODE,TeloHAEC_TNF,iPS_DF_19.11-ENCODE,stomach_fetal-ENCODE,H9-ENCODE,Eahy926_Ctrl,TeloHAEC_Ctrl,Eahy926_TNF,induced_pluripotent_stem_cell-ENCODE,H1-hESC-Roadmap,body_of_pancreas-ENCODE,Karpas-422-ENCODE,uterus-ENCODE,placenta-Roadmap,stomach_fetal-Roadmap,muscle_of_trunk_fetal-Roadmap,CD3-positive_T_cell-Roadmap,ovary-Roadmap,B_cell-ENCODE,CD56-positive_natural_killer_cells-Roadmap,H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap,H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap,A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap,iPS_DF_19.11_Cell_Line-Roadmap,H9-Roadmap,thymus_fetal-ENCODE,large_intestine_fetal-Roadmap,spinal_cord_fetal-ENCODE,GM12878-ENCODE,endothelial_cell_of_umbilical_vein-Roadmap,HepG2-Roadmap,K562-Roadmap,HAP1,fibroblast_of_lung_fetal-ENCODE,GM12878-Roadmap,cardiac_muscle_cell-ENCODE,Eahy926_IL1b,HCT116-AID_ENCODE_DHS_Auxin6hr,Eahy926_VEGF,TeloHAEC_IL1b,pancreatic-acinar-cell-AMP,fibroblast_of_dermis-ENCODE,PC-9-ENCODE,CD8-positive_alpha-beta_T_cell-Corces2016,large_intestine_fetal-ENCODE,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017,fibroblast_of_arm-ENCODE,IMR90-ENCODE,BJAB-Engreitz,CD14-positive_monocytes-Roadmap,MCF10A-Ji2017,skeletal_muscle_myoblast-Roadmap,CD14-positive_monocyte-Roadmap,LoVo,bipolar_neuron_from_iPSC-ENCODE,H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap,psoas_muscle-Roadmap,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017,astrocyte-Roadmap,astrocyte-ENCODE,foreskin_fibroblast-Roadmap,mammary_epithelial_cell-ENCODE,CD14-positive_monocyte-ENCODE,epithelial_cell_of_prostate-ENCODE,trophoblast_cell-ENCODE,mammary_epithelial_cell-Roadmap,muscle_of_leg_fetal-Roadmap,HCT116-ENCODE,CD34-positive_mobilized-Roadmap,small_intestine_fetal-ENCODE,CD4-positive_helper_T_cell-Corces2016,HeLa-S3-ENCODE,stomach-Roadmap,eahy926,myotube-ENCODE,pancreas-Roadmap,MCF10A_treated_with_TAM24hr-Ji2017,adrenal_gland_fetal-Roadmap,thymus_fetal-Roadmap,H1_Derived_Mesenchymal_Stem_Cells-Roadmap,IMR90-Roadmap,A673-ENCODE,H1-hESC-ENCODE,muscle_of_leg_fetal-ENCODE,small_intestine_fetal-Roadmap,muscle_of_trunk_fetal-ENCODE,HeLa-S3-Roadmap,sigmoid_colon-ENCODE,HT29,megakaryocyte-erythroid_progenitor-Corces2016,fibroblast_of_lung-Roadmap,H7,placenta-ENCODE,CD19-positive_B_cell-Roadmap,fibroblast_of_dermis-Roadmap,adrenal_gland_fetal-ENCODE,MCF-7-ENCODE,erythroblast-Corces2016,LNCAP,HCT116-AID_ENCODE_DHS_untreated,BJAB_anti-IgM_anti-CD40_4hr-Engreitz,natural_killer_cell-Corces2016,keratinocyte-ENCODE,myotube_originated_from_skeletal_muscle_myoblast-Roadmap,keratinocyte-Roadmap	AS3MT,BORCS7	BORCS7	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
CAD_Harst2017-rs11191416	rs77335224	adrenal_gland_fetal-ENCODE,adrenal_gland_fetal-ENCODE,adrenal_gland_fetal-ENCODE,adrenal_gland_fetal-ENCODE	AS3MT,BORCS7,CNNM2,CYP17A1	AS3MT	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
CAD_Harst2017-rs11191416	rs4409766	HAP1	BORCS7	BORCS7	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
CAD_Harst2017-rs11191416	rs11191479	erythroblast-Corces2016,erythroblast-Corces2016,erythroblast-Corces2016	CNNM2,CYP17A1,NT5C2	CNNM2	chr10	104591393	104959188	117	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11191416	104591393	rs17115100	CYP17A1	CNNM2	NA	NA
