chr	region_start	region_end	Trait	Source	CredibleSet	LeadVariant	LeadVariantPos	gene	pro_start	pro_end	TSS_position	SNP_to_TSS_distance	abs_SNP_to_TSS	rank_SNP_to_TSS	IsThisGeneUbiquitouslyExpressed	LipidLevelsAssociated	BloodPressureAssociated	IntersectsWithECPeak	OnlyIntersectsWithECPeak	CellTypeOftheClosestECPeak	EC_PeakCenter	DistanceToNearestECPeakWithVariant	absDistanceToNearestECPeakWithVariant	RankOfDistanceToECPeakWithVariant	MaxABC	MaxABC.Rank	CellTypesWithEPInteractions	MaxABC.EC.only	MaxABC.Rank.ECOnly	ECCellTypesWithEPInteractions
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	GNB1	1822306	1822806	1822556	-423014	423014	17	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	CALML6	1846015	1846515	1846265	-399305	399305	16	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	TMEM52	1850490	1850990	1850740	-394830	394830	15	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	CFAP74	1935026	1935526	1935276	-310294	310294	13	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.020782	4	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.020782	4	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	GABRD	1950517	1951017	1950767	-294803	294803	12	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	PRKCZ	1981658	1982158	1981908	-263662	263662	10	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.017467	6	adipose_tissue-ENCODE	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	FAAP20	2125964	2126464	2126214	-119356	119356	5	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.027739	2	adipose_tissue-ENCODE|endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013|endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_IL1b|TeloHAEC_VEGF	0.027739	2	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013|endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_IL1b|TeloHAEC_VEGF
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	SKI	2159883	2160383	2160133	-85437	85437	3	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.039908	1	adipose_tissue-ENCODE|dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017|endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013|endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_IL1b|TeloHAEC_VEGF	0.039908	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013|endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_IL1b|TeloHAEC_VEGF
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	MORN1	2322940	2323440	2323190	77620	77620	1	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.027483	3	adipose_tissue-ENCODE|endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_VEGF	0.027483	3	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_VEGF
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	RER1	2322963	2323463	2323213	77643	77643	2	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.027483	3	adipose_tissue-ENCODE|endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_VEGF	0.027483	3	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013|TeloHAEC_VEGF
