PeakChr	PeakStart	PeakEnd	variant	CredibleSet	EnhancerID	CellType	PosteriorProb
chr1	2241224	2252622	rs11806567	CAD_Harst2017-rs36096196	genic|chr1:2241074-2252772	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	NA
chr1	2241224	2252622	rs36096196	CAD_Harst2017-rs36096196	genic|chr1:2241074-2252772	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	NA
chr1	2251884	2252084	rs11806567	CAD_Harst2017-rs36096196	intergenic|chr1:2251734-2252234	SK-N-SH-ENCODE	NA
chr1	2251900	2252100	rs11806567	CAD_Harst2017-rs36096196	intergenic|chr1:2251750-2252250	THP_pmaLPS_ATAC_96h	NA
chr1	2251949	2252149	rs11806567	CAD_Harst2017-rs36096196	intergenic|chr1:2251799-2252299	U937-Engreitz	NA
chr1	2251956	2252156	rs11806567	CAD_Harst2017-rs36096196	intergenic|chr1:2251806-2252306	THP_pmaLPS_ATAC_2h	NA
chr1	2252055	2252255	rs36096196	CAD_Harst2017-rs36096196	intergenic|chr1:2251905-2252405	THP_pmaLPS_ATAC_12h	NA
chr1	2252114	2252314	rs36096196	CAD_Harst2017-rs36096196	intergenic|chr1:2251964-2252464	THP_pmaLPS_ATAC_1h	NA
chr1	2252164	2252364	rs36096196	CAD_Harst2017-rs36096196	intergenic|chr1:2252014-2252514	THP-1_macrophage-VanBortle2017	NA
chr1	2252164	2252364	rs36096196	CAD_Harst2017-rs36096196	intergenic|chr1:2252014-2252514	hepatocyte-ENCODE	NA
chr1	2252201	2252491	rs36096196	CAD_Harst2017-rs36096196	intergenic|chr1:2252051-2252641	osteoblast-ENCODE	NA
chr1	3325177	3326076	rs2493298	CAD_Harst2017-rs2493298	genic|chr1:3325027-3326226	SK-N-SH-ENCODE	NA
chr1	3325768	3326193	rs2493298	CAD_Harst2017-rs2493298	genic|chr1:3325618-3326343	hepatocyte-ENCODE	NA
chr1	3325819	3326233	rs2493298	CAD_Harst2017-rs2493298	genic|chr1:3325669-3326383	coronary_artery-ENCODE	NA
chr1	3326125	3326930	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3325975-3327080	CD34-positive_mobilized-Roadmap	NA
chr1	3326353	3327196	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326203-3327346	spinal_cord_fetal-ENCODE	NA
chr1	3326353	3327196	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326203-3327346	spinal_cord_fetal-ENCODE	NA
chr1	3326353	3327196	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326203-3327346	spinal_cord_fetal-ENCODE	NA
chr1	3326575	3326981	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326425-3327131	stomach_fetal-ENCODE	NA
chr1	3326598	3327380	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326448-3327530	skeletal_muscle_myoblast-Roadmap	NA
chr1	3326598	3327380	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326448-3327530	skeletal_muscle_myoblast-Roadmap	NA
chr1	3326598	3327380	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326448-3327530	skeletal_muscle_myoblast-Roadmap	NA
chr1	3326599	3327418	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326449-3327568	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	NA
chr1	3326599	3327418	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326449-3327568	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	NA
chr1	3326599	3327418	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326449-3327568	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	NA
chr1	3326611	3326811	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326461-3326961	HeLa-S3-Roadmap	NA
chr1	3326636	3326836	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326486-3326986	THP_pmaLPS_ATAC_96h	NA
chr1	3326658	3327160	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326508-3327310	H9-Roadmap	NA
chr1	3326658	3327160	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326508-3327310	H9-Roadmap	NA
chr1	3326658	3327160	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326508-3327310	H9-Roadmap	NA
chr1	3326717	3326917	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326567-3327067	endothelial_cell_of_umbilical_vein-Roadmap	NA
chr1	3326739	3326939	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326589-3327089	fibroblast_of_dermis-Roadmap	NA
chr1	3326740	3326940	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326590-3327090	THP_pmaLPS_ATAC_48h	NA
chr1	3326746	3326946	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326596-3327096	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap	NA
