CredibleSet	TargetGene	chr	start	end	variant	PosteriorProb	Disease	chr.1	start.1	end.1	name	class	activity_base	TargetGeneTSS	TargetGeneExpression	TargetGenePromoterActivityQuantile	TargetGeneIsExpressed	distance	isSelfPromoter	powerlaw_contact	powerlaw_contact_reference	hic_contact	hic_contact_pl_scaled	hic_pseudocount	hic_contact_pl_scaled_adj	ABC.Score.Numerator	ABC.Score	powerlaw.Score.Numerator	powerlaw.Score	CellType	MaxABC	GeneRank
CAD_Harst2017-rs10093110	ZFPM2	chr8	106581284	106581284	rs6993696	NA	CAD_Harst2017	chr8	106581031	106581696	genic|chr8:106580881-106581846	genic	9.179217	106331146	NA	0.500652	True	250217.5	False	0.001618	0.004086	0.004103	0.001624	0.001216	0.00284	0.02607	0.023445	0.037661	0.024343	megakaryocyte-erythroid_progenitor-Corces2016	0.023445	1
CAD_Harst2017-rs10139550	BCL11B	chr14	100145710	100145710	rs10139550	NA	CAD_Harst2017	chr14	100145420	100146837	intergenic|chr14:100145270-100146987	intergenic	14.487596	99738050	NA	0.413639	True	408078.5	False	0.000188	0.002664	0.002681	0.00019	0.001216	0.001406	0.020363	0.018719	0.038839	0.021851	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.018719	5
CAD_Harst2017-rs10139550	CCDC85C	chr14	100145710	100145710	rs10139550	NA	CAD_Harst2017	chr14	100145420	100146837	intergenic|chr14:100145270-100146987	intergenic	14.487596	100070727	NA	0.70352	True	75401.5	False	0.002897	0.011672	0.011649	0.002891	0.001216	0.004107	0.0595	0.023059	0.168769	0.022866	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.023059	4
CAD_Harst2017-rs10139550	CCNK	chr14	100145710	100145710	rs10139550	NA	CAD_Harst2017	chr14	100145420	100146837	intergenic|chr14:100145270-100146987	intergenic	14.487596	99947738	NA	0.804913	True	198390.5	False	0.001342	0.005007	0.005021	0.001346	0.001216	0.002562	0.037115	0.016037	0.07274	0.022124	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.016037	6
CAD_Harst2017-rs10139550	CYP46A1	chr14	100145710	100145710	rs10139550	NA	CAD_Harst2017	chr14	100145420	100146837	intergenic|chr14:100145270-100146987	intergenic	14.487596	100150754	NA	0.574589	True	4625.5	False	0.034194	0.125372	0.123436	0.033666	0.001216	0.034882	0.505355	0.152394	1.788292	0.216468	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.275884	1
CAD_Harst2017-rs10139550	CYP46A1	chr14	100148961	100148961	rs8003602	NA	CAD_Harst2017	chr14	100147148	100155249	promoter|chr14:100146998-100155399	promoter	24.838911	100150754	NA	0.574589	True	444.5	True	0.036175	0.125372	0.123436	0.035616	0.001216	0.036832	0.914862	0.275884	3.066017	0.371133	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.275884	1
CAD_Harst2017-rs10139550	CYP46A1	chr14	100148961	100148961	rs8003602	NA	CAD_Harst2017	chr14	100148897	100151172	promoter|chr14:100148747-100151322	promoter	11.251075	100150754	NA	0.625794	True	719.5	True	0.036175	0.125372	0.123436	0.035616	0.001216	0.036832	0.414397	0.135088	1.388788	0.276984	T-cell-ENCODE	0.275884	1
CAD_Harst2017-rs10139550	CYP46A1	chr14	100148961	100148961	rs8003602	NA	CAD_Harst2017	chr14	100148914	100149398	intergenic|chr14:100148764-100149548	intergenic	2.172266	100150754	NA	0.603511	True	1598	False	0.034194	0.125372	0.123436	0.033666	0.001216	0.034882	0.075773	0.043963	0.268136	0.100262	CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016	0.275884	1
CAD_Harst2017-rs10139550	CYP46A1	chr14	100148961	100148961	rs8003602	NA	CAD_Harst2017	chr14	100148937	100149137	intergenic|chr14:100148787-100149287	intergenic	2.343956	100150754	NA	0.621395	True	1717	False	0.034194	0.125372	0.123436	0.033666	0.001216	0.034882	0.081762	0.03081	0.289329	0.06095	sigmoid_colon-ENCODE	0.275884	1
CAD_Harst2017-rs10139550	CYP46A1	chr14	100148961	100148961	rs8003602	NA	CAD_Harst2017	chr14	100148958	100149158	intergenic|chr14:100148808-100149308	intergenic	1.459598	100150754	NA	0.70352	True	1696	False	0.034194	0.125372	0.123436	0.033666	0.001216	0.034882	0.050914	0.021102	0.180167	0.041001	heart_ventricle-ENCODE	0.275884	1
